Order,Customer Id,Product,Region,OrderDate,Quantity,UnitPrice,Total Revenue,Total Revnue by Region
1007,Cus1294,Shirt,East,7/31/2023,12,40,480," 2,448,915.00 "
1008,Cus1131,Shoes,West,8/31/2023,4,15,60," 1,511,880.00 "
1009,Cus1205,Hat,North,9/30/2023,7,10,70," 1,949,000.00 "
1010,Cus1415,Socks,South,10/31/2023,9,30,270," 4,672,430.00 "
1011,Cus1054,Jacket,East,11/30/2023,6,35,210," 2,448,435.00 "
1012,Cus1032,Gloves,West,12/31/2023,5,20,100," 1,511,820.00 "
1013,Cus1451,Shirt,North,1/31/2024,8,50,400," 1,948,930.00 "
1014,Cus1322,Shoes,South,2/29/2024,10,60,600," 4,672,160.00 "
1015,Cus1046,Hat,East,3/31/2024,11,10,110," 2,448,225.00 "
1016,Cus1308,Socks,West,4/30/2024,4,20,80," 1,511,720.00 "
1017,Cus1176,Jacket,North,5/31/2024,3,30,90," 1,948,530.00 "
1018,Cus1069,Gloves,South,6/30/2024,12,25,300," 4,671,560.00 "
1019,Cus1405,Shoes,East,7/31/2024,5,15,75," 2,448,115.00 "
1020,Cus1491,Hat,West,8/31/2024,7,50,350," 1,511,640.00 "
1001,Cus1456,Shirt,North,1/31/2023,5,20,100," 1,948,440.00 "
1002,Cus1256,Shoes,South,2/28/2023,10,50,500," 4,671,260.00 "
1003,Cus1381,Hat,East,3/31/2023,7,15,105," 2,448,040.00 "
1004,Cus1135,Socks,West,4/30/2023,3,5,15," 1,511,290.00 "
1005,Cus1160,Jacket,North,5/31/2023,2,60,120," 1,948,340.00 "
1006,Cus1107,Gloves,South,6/30/2023,8,25,200," 4,670,760.00 "
1007,Cus1352,Shirt,East,7/31/2023,12,40,480," 2,447,935.00 "
1008,Cus1322,Shoes,West,8/31/2023,4,15,60," 1,511,275.00 "
1009,Cus1394,Hat,North,9/30/2023,7,10,70," 1,948,220.00 "
1010,Cus1499,Socks,South,10/31/2023,9,30,270," 4,670,560.00 "
1011,Cus1202,Jacket,East,11/30/2023,6,35,210," 2,447,455.00 "
1012,Cus1173,Gloves,West,12/31/2023,5,20,100," 1,511,215.00 "
1013,Cus1181,Shirt,North,1/31/2024,8,50,400," 1,948,150.00 "
1014,Cus1431,Shoes,South,2/29/2024,10,60,600," 4,670,290.00 "
1015,Cus1230,Hat,East,3/31/2024,11,10,110," 2,447,245.00 "
1016,Cus1382,Socks,West,4/30/2024,4,20,80," 1,511,115.00 "
1017,Cus1236,Jacket,North,5/31/2024,3,30,90," 1,947,750.00 "
1018,Cus1106,Gloves,South,6/30/2024,12,25,300," 4,669,690.00 "
1019,Cus1410,Shoes,East,7/31/2024,5,15,75," 2,447,135.00 "
1020,Cus1460,Hat,West,8/31/2024,7,50,350," 1,511,035.00 "
1001,Cus1035,Shirt,North,1/31/2023,5,20,100," 1,947,660.00 "
1002,Cus1332,Shoes,South,2/28/2023,10,50,500," 4,669,390.00 "
1003,Cus1150,Hat,East,3/31/2023,7,15,105," 2,447,060.00 "
1004,Cus1355,Socks,West,4/30/2023,3,5,15," 1,510,685.00 "
1005,Cus1341,Jacket,North,5/31/2023,2,60,120," 1,947,560.00 "
1006,Cus1203,Gloves,South,6/30/2023,8,25,200," 4,668,890.00 "
1007,Cus1443,Shirt,East,7/31/2023,12,40,480," 2,446,955.00 "
1008,Cus1397,Shoes,West,8/31/2023,4,15,60," 1,510,670.00 "
1009,Cus1241,Hat,North,9/30/2023,7,10,70," 1,947,440.00 "
1010,Cus1277,Socks,South,10/31/2023,9,30,270," 4,668,690.00 "
1011,Cus1435,Jacket,East,11/30/2023,6,35,210," 2,446,475.00 "
1012,Cus1048,Gloves,West,12/31/2023,5,20,100," 1,510,610.00 "
1013,Cus1090,Shirt,North,1/31/2024,8,50,400," 1,947,370.00 "
1014,Cus1270,Shoes,South,2/29/2024,10,60,600," 4,668,420.00 "
1015,Cus1139,Hat,East,3/31/2024,11,10,110," 2,446,265.00 "
1016,Cus1323,Socks,West,4/30/2024,4,20,80," 1,510,510.00 "
1017,Cus1361,Jacket,North,5/31/2024,3,30,90," 1,946,970.00 "
1018,Cus1414,Gloves,South,6/30/2024,12,25,300," 4,667,820.00 "
1019,Cus1026,Shoes,East,7/31/2024,5,15,75," 2,446,155.00 "
1020,Cus1054,Hat,West,8/31/2024,7,50,350," 1,510,430.00 "
1001,Cus1134,Shirt,North,1/31/2023,5,20,100," 1,946,880.00 "
1002,Cus1322,Shoes,South,2/28/2023,10,50,500," 4,667,520.00 "
1003,Cus1295,Hat,East,3/31/2023,7,15,105," 2,446,080.00 "
1004,Cus1243,Socks,West,4/30/2023,3,5,15," 1,510,080.00 "
1005,Cus1161,Jacket,North,5/31/2023,2,60,120," 1,946,780.00 "
1006,Cus1121,Gloves,South,6/30/2023,8,25,200," 4,667,020.00 "
1007,Cus1483,Shirt,East,7/31/2023,12,40,480," 2,445,975.00 "
1008,Cus1073,Shoes,West,8/31/2023,4,15,60," 1,510,065.00 "
1009,Cus1338,Hat,North,9/30/2023,7,10,70," 1,946,660.00 "
1010,Cus1012,Socks,South,10/31/2023,9,30,270," 4,666,820.00 "
1011,Cus1433,Jacket,East,11/30/2023,6,35,210," 2,445,495.00 "
1012,Cus1416,Gloves,West,12/31/2023,5,20,100," 1,510,005.00 "
1013,Cus1233,Shirt,North,1/31/2024,8,50,400," 1,946,590.00 "
1014,Cus1059,Shoes,South,2/29/2024,10,60,600," 4,666,550.00 "
1015,Cus1006,Hat,East,3/31/2024,11,10,110," 2,445,285.00 "
1016,Cus1056,Socks,West,4/30/2024,4,20,80," 1,509,905.00 "
1017,Cus1243,Jacket,North,5/31/2024,3,30,90," 1,946,190.00 "
1018,Cus1045,Gloves,South,6/30/2024,12,25,300," 4,665,950.00 "
1019,Cus1075,Shoes,East,7/31/2024,5,15,75," 2,445,175.00 "
1020,Cus1015,Hat,West,8/31/2024,7,50,350," 1,509,825.00 "
1001,Cus1493,Shirt,North,1/31/2023,5,20,100," 1,946,100.00 "
1002,Cus1068,Shoes,South,2/28/2023,10,50,500," 4,665,650.00 "
1003,Cus1483,Hat,East,3/31/2023,7,15,105," 2,445,100.00 "
1004,Cus1279,Socks,West,4/30/2023,3,5,15," 1,509,475.00 "
1005,Cus1082,Jacket,North,5/31/2023,2,60,120," 1,946,000.00 "
1006,Cus1408,Gloves,South,6/30/2023,8,25,200," 4,665,150.00 "
1007,Cus1136,Shirt,East,7/31/2023,12,40,480," 2,444,995.00 "
1008,Cus1133,Shoes,West,8/31/2023,4,15,60," 1,509,460.00 "
1009,Cus1306,Hat,North,9/30/2023,7,10,70," 1,945,880.00 "
1010,Cus1486,Socks,South,10/31/2023,9,30,270," 4,664,950.00 "
1011,Cus1422,Jacket,East,11/30/2023,6,35,210," 2,444,515.00 "
1012,Cus1318,Gloves,West,12/31/2023,5,20,100," 1,509,400.00 "
1013,Cus1184,Shirt,North,1/31/2024,8,50,400," 1,945,810.00 "
1014,Cus1240,Shoes,South,2/29/2024,10,60,600," 4,664,680.00 "
1015,Cus1118,Hat,East,3/31/2024,11,10,110," 2,444,305.00 "
1016,Cus1472,Socks,West,4/30/2024,4,20,80," 1,509,300.00 "
1017,Cus1134,Jacket,North,5/31/2024,3,30,90," 1,945,410.00 "
1018,Cus1251,Gloves,South,6/30/2024,12,25,300," 4,664,080.00 "
1019,Cus1345,Shoes,East,7/31/2024,5,15,75," 2,444,195.00 "
1020,Cus1150,Hat,West,8/31/2024,7,50,350," 1,509,220.00 "
1001,Cus1283,Shirt,North,1/31/2023,5,20,100," 1,945,320.00 "
1002,Cus1044,Shoes,South,2/28/2023,10,50,500," 4,663,780.00 "
1003,Cus1345,Hat,East,3/31/2023,7,15,105," 2,444,120.00 "
1004,Cus1425,Socks,West,4/30/2023,3,5,15," 1,508,870.00 "
1005,Cus1215,Jacket,North,5/31/2023,2,60,120," 1,945,220.00 "
1006,Cus1193,Gloves,South,6/30/2023,8,25,200," 4,663,280.00 "
1007,Cus1332,Shirt,East,7/31/2023,12,40,480," 2,444,015.00 "
1008,Cus1361,Shoes,West,8/31/2023,4,15,60," 1,508,855.00 "
1009,Cus1088,Hat,North,9/30/2023,7,10,70," 1,945,100.00 "
1010,Cus1186,Socks,South,10/31/2023,9,30,270," 4,663,080.00 "
1011,Cus1148,Jacket,East,11/30/2023,6,35,210," 2,443,535.00 "
1012,Cus1343,Gloves,West,12/31/2023,5,20,100," 1,508,795.00 "
1013,Cus1316,Shirt,North,1/31/2024,8,50,400," 1,945,030.00 "
1014,Cus1114,Shoes,South,2/29/2024,10,60,600," 4,662,810.00 "
1015,Cus1293,Hat,East,3/31/2024,11,10,110," 2,443,325.00 "
1016,Cus1211,Socks,West,4/30/2024,4,20,80," 1,508,695.00 "
1017,Cus1060,Jacket,North,5/31/2024,3,30,90," 1,944,630.00 "
1018,Cus1388,Gloves,South,6/30/2024,12,25,300," 4,662,210.00 "
1019,Cus1141,Shoes,East,7/31/2024,5,15,75," 2,443,215.00 "
1020,Cus1035,Hat,West,8/31/2024,7,50,350," 1,508,615.00 "
1001,Cus1188,Shirt,North,1/31/2023,5,20,100," 1,944,540.00 "
1002,Cus1036,Shoes,South,2/28/2023,10,50,500," 4,661,910.00 "
1003,Cus1031,Hat,East,3/31/2023,7,15,105," 2,443,140.00 "
1004,Cus1369,Socks,West,4/30/2023,3,5,15," 1,508,265.00 "
1005,Cus1128,Jacket,North,5/31/2023,2,60,120," 1,944,440.00 "
1006,Cus1450,Gloves,South,6/30/2023,8,25,200," 4,661,410.00 "
1007,Cus1111,Shirt,East,7/31/2023,12,40,480," 2,443,035.00 "
1008,Cus1402,Shoes,West,8/31/2023,4,15,60," 1,508,250.00 "
1009,Cus1063,Hat,North,9/30/2023,7,10,70," 1,944,320.00 "
1010,Cus1367,Socks,South,10/31/2023,9,30,270," 4,661,210.00 "
1011,Cus1198,Jacket,East,11/30/2023,6,35,210," 2,442,555.00 "
1012,Cus1301,Gloves,West,12/31/2023,5,20,100," 1,508,190.00 "
1013,Cus1128,Shirt,North,1/31/2024,8,50,400," 1,944,250.00 "
1014,Cus1257,Shoes,South,2/29/2024,10,60,600," 4,660,940.00 "
1015,Cus1373,Hat,East,3/31/2024,11,10,110," 2,442,345.00 "
1016,Cus1273,Socks,West,4/30/2024,4,20,80," 1,508,090.00 "
1017,Cus1099,Jacket,North,5/31/2024,3,30,90," 1,943,850.00 "
1018,Cus1275,Gloves,South,6/30/2024,12,25,300," 4,660,340.00 "
1019,Cus1318,Shoes,East,7/31/2024,5,15,75," 2,442,235.00 "
1020,Cus1108,Hat,West,8/31/2024,7,50,350," 1,508,010.00 "
1001,Cus1084,Shirt,North,1/31/2023,5,20,100," 1,943,760.00 "
1002,Cus1113,Shoes,South,2/28/2023,10,50,500," 4,660,040.00 "
1003,Cus1064,Hat,East,3/31/2023,7,15,105," 2,442,160.00 "
1004,Cus1254,Socks,West,4/30/2023,3,5,15," 1,507,660.00 "
1005,Cus1399,Jacket,North,5/31/2023,2,60,120," 1,943,660.00 "
1006,Cus1210,Gloves,South,6/30/2023,8,25,200," 4,659,540.00 "
1007,Cus1267,Shirt,East,7/31/2023,12,40,480," 2,442,055.00 "
1008,Cus1231,Shoes,West,8/31/2023,4,15,60," 1,507,645.00 "
1009,Cus1410,Hat,North,9/30/2023,7,10,70," 1,943,540.00 "
1010,Cus1433,Socks,South,10/31/2023,9,30,270," 4,659,340.00 "
1011,Cus1056,Jacket,East,11/30/2023,6,35,210," 2,441,575.00 "
1012,Cus1203,Gloves,West,12/31/2023,5,20,100," 1,507,585.00 "
1013,Cus1387,Shirt,North,1/31/2024,8,50,400," 1,943,470.00 "
1014,Cus1484,Shoes,South,2/29/2024,10,60,600," 4,659,070.00 "
1015,Cus1423,Hat,East,3/31/2024,11,10,110," 2,441,365.00 "
1016,Cus1135,Socks,West,4/30/2024,4,20,80," 1,507,485.00 "
1017,Cus1123,Jacket,North,5/31/2024,3,30,90," 1,943,070.00 "
1018,Cus1179,Gloves,South,6/30/2024,12,25,300," 4,658,470.00 "
1019,Cus1296,Shoes,East,7/31/2024,5,15,75," 2,441,255.00 "
1020,Cus1444,Hat,West,8/31/2024,7,50,350," 1,507,405.00 "
1001,Cus1066,Shirt,North,1/31/2023,5,20,100," 1,942,980.00 "
1002,Cus1096,Shoes,South,2/28/2023,10,50,500," 4,658,170.00 "
1003,Cus1252,Hat,East,3/31/2023,7,15,105," 2,441,180.00 "
1004,Cus1071,Socks,West,4/30/2023,3,5,15," 1,507,055.00 "
1005,Cus1181,Jacket,North,5/31/2023,2,60,120," 1,942,880.00 "
1006,Cus1428,Gloves,South,6/30/2023,8,25,200," 4,657,670.00 "
1007,Cus1177,Shirt,East,7/31/2023,12,40,480," 2,441,075.00 "
1008,Cus1035,Shoes,West,8/31/2023,4,15,60," 1,507,040.00 "
1009,Cus1406,Hat,North,9/30/2023,7,10,70," 1,942,760.00 "
1010,Cus1120,Socks,South,10/31/2023,9,30,270," 4,657,470.00 "
1011,Cus1092,Jacket,East,11/30/2023,6,35,210," 2,440,595.00 "
1012,Cus1374,Gloves,West,12/31/2023,5,20,100," 1,506,980.00 "
1013,Cus1384,Shirt,North,1/31/2024,8,50,400," 1,942,690.00 "
1014,Cus1046,Shoes,South,2/29/2024,10,60,600," 4,657,200.00 "
1015,Cus1308,Hat,East,3/31/2024,11,10,110," 2,440,385.00 "
1016,Cus1105,Socks,West,4/30/2024,4,20,80," 1,506,880.00 "
1017,Cus1493,Jacket,North,5/31/2024,3,30,90," 1,942,290.00 "
1018,Cus1372,Gloves,South,6/30/2024,12,25,300," 4,656,600.00 "
1019,Cus1233,Shoes,East,7/31/2024,5,15,75," 2,440,275.00 "
1020,Cus1322,Hat,West,8/31/2024,7,50,350," 1,506,800.00 "
1001,Cus1371,Shirt,North,1/31/2023,5,20,100," 1,942,200.00 "
1002,Cus1402,Shoes,South,2/28/2023,10,50,500," 4,656,300.00 "
1003,Cus1207,Hat,East,3/31/2023,7,15,105," 2,440,200.00 "
1004,Cus1280,Socks,West,4/30/2023,3,5,15," 1,506,450.00 "
1005,Cus1041,Jacket,North,5/31/2023,2,60,120," 1,942,100.00 "
1006,Cus1325,Gloves,South,6/30/2023,8,25,200," 4,655,800.00 "
1007,Cus1069,Shirt,East,7/31/2023,12,40,480," 2,440,095.00 "
1008,Cus1227,Shoes,West,8/31/2023,4,15,60," 1,506,435.00 "
1009,Cus1487,Hat,North,9/30/2023,7,10,70," 1,941,980.00 "
1010,Cus1272,Socks,South,10/31/2023,9,30,270," 4,655,600.00 "
1011,Cus1238,Jacket,East,11/30/2023,6,35,210," 2,439,615.00 "
1012,Cus1105,Gloves,West,12/31/2023,5,20,100," 1,506,375.00 "
1013,Cus1493,Shirt,North,1/31/2024,8,50,400," 1,941,910.00 "
1014,Cus1441,Shoes,South,2/29/2024,10,60,600," 4,655,330.00 "
1015,Cus1022,Hat,East,3/31/2024,11,10,110," 2,439,405.00 "
1016,Cus1132,Socks,West,4/30/2024,4,20,80," 1,506,275.00 "
1017,Cus1071,Jacket,North,5/31/2024,3,30,90," 1,941,510.00 "
1018,Cus1457,Gloves,South,6/30/2024,12,25,300," 4,654,730.00 "
1019,Cus1101,Shoes,East,7/31/2024,5,15,75," 2,439,295.00 "
1020,Cus1021,Hat,West,8/31/2024,7,50,350," 1,506,195.00 "
1001,Cus1083,Shirt,North,1/31/2023,5,20,100," 1,941,420.00 "
1002,Cus1231,Shoes,South,2/28/2023,10,50,500," 4,654,430.00 "
1003,Cus1027,Hat,East,3/31/2023,7,15,105," 2,439,220.00 "
1004,Cus1465,Socks,West,4/30/2023,3,5,15," 1,505,845.00 "
1005,Cus1098,Jacket,North,5/31/2023,2,60,120," 1,941,320.00 "
1006,Cus1119,Gloves,South,6/30/2023,8,25,200," 4,653,930.00 "
1007,Cus1496,Shirt,East,7/31/2023,12,40,480," 2,439,115.00 "
1008,Cus1173,Shoes,West,8/31/2023,4,15,60," 1,505,830.00 "
1009,Cus1206,Hat,North,9/30/2023,7,10,70," 1,941,200.00 "
1010,Cus1282,Socks,South,10/31/2023,9,30,270," 4,653,730.00 "
1011,Cus1266,Jacket,East,11/30/2023,6,35,210," 2,438,635.00 "
1012,Cus1261,Gloves,West,12/31/2023,5,20,100," 1,505,770.00 "
1013,Cus1345,Shirt,North,1/31/2024,8,50,400," 1,941,130.00 "
1014,Cus1419,Shoes,South,2/29/2024,10,60,600," 4,653,460.00 "
1015,Cus1347,Hat,East,3/31/2024,11,10,110," 2,438,425.00 "
1016,Cus1279,Socks,West,4/30/2024,4,20,80," 1,505,670.00 "
1017,Cus1097,Jacket,North,5/31/2024,3,30,90," 1,940,730.00 "
1018,Cus1346,Gloves,South,6/30/2024,12,25,300," 4,652,860.00 "
1019,Cus1084,Shoes,East,7/31/2024,5,15,75," 2,438,315.00 "
1020,Cus1265,Hat,West,8/31/2024,7,50,350," 1,505,590.00 "
1001,Cus1459,Shirt,North,1/31/2023,5,20,100," 1,940,640.00 "
1002,Cus1493,Shoes,South,2/28/2023,10,50,500," 4,652,560.00 "
1003,Cus1093,Hat,East,3/31/2023,7,15,105," 2,438,240.00 "
1004,Cus1145,Socks,West,4/30/2023,3,5,15," 1,505,240.00 "
1005,Cus1016,Jacket,North,5/31/2023,2,60,120," 1,940,540.00 "
1006,Cus1347,Gloves,South,6/30/2023,8,25,200," 4,652,060.00 "
1007,Cus1405,Shirt,East,7/31/2023,12,40,480," 2,438,135.00 "
1008,Cus1413,Shoes,West,8/31/2023,4,15,60," 1,505,225.00 "
1009,Cus1032,Hat,North,9/30/2023,7,10,70," 1,940,420.00 "
1010,Cus1208,Socks,South,10/31/2023,9,30,270," 4,651,860.00 "
1011,Cus1226,Jacket,East,11/30/2023,6,35,210," 2,437,655.00 "
1012,Cus1472,Gloves,West,12/31/2023,5,20,100," 1,505,165.00 "
1013,Cus1482,Shirt,North,1/31/2024,8,50,400," 1,940,350.00 "
1014,Cus1480,Shoes,South,2/29/2024,10,60,600," 4,651,590.00 "
1015,Cus1367,Hat,East,3/31/2024,11,10,110," 2,437,445.00 "
1016,Cus1127,Socks,West,4/30/2024,4,20,80," 1,505,065.00 "
1017,Cus1344,Jacket,North,5/31/2024,3,30,90," 1,939,950.00 "
1018,Cus1456,Gloves,South,6/30/2024,12,25,300," 4,650,990.00 "
1019,Cus1213,Shoes,East,7/31/2024,5,15,75," 2,437,335.00 "
1020,Cus1242,Hat,West,8/31/2024,7,50,350," 1,504,985.00 "
1001,Cus1058,Shirt,North,1/31/2023,5,20,100," 1,939,860.00 "
1002,Cus1013,Shoes,South,2/28/2023,10,50,500," 4,650,690.00 "
1003,Cus1008,Hat,East,3/31/2023,7,15,105," 2,437,260.00 "
1004,Cus1091,Socks,West,4/30/2023,3,5,15," 1,504,635.00 "
1005,Cus1270,Jacket,North,5/31/2023,2,60,120," 1,939,760.00 "
1006,Cus1013,Gloves,South,6/30/2023,8,25,200," 4,650,190.00 "
1007,Cus1283,Shirt,East,7/31/2023,12,40,480," 2,437,155.00 "
1008,Cus1017,Shoes,West,8/31/2023,4,15,60," 1,504,620.00 "
1009,Cus1280,Hat,North,9/30/2023,7,10,70," 1,939,640.00 "
1010,Cus1319,Socks,South,10/31/2023,9,30,270," 4,649,990.00 "
1011,Cus1367,Jacket,East,11/30/2023,6,35,210," 2,436,675.00 "
1012,Cus1137,Gloves,West,12/31/2023,5,20,100," 1,504,560.00 "
1013,Cus1178,Shirt,North,1/31/2024,8,50,400," 1,939,570.00 "
1014,Cus1084,Shoes,South,2/29/2024,10,60,600," 4,649,720.00 "
1015,Cus1190,Hat,East,3/31/2024,11,10,110," 2,436,465.00 "
1016,Cus1395,Socks,West,4/30/2024,4,20,80," 1,504,460.00 "
1017,Cus1152,Jacket,North,5/31/2024,3,30,90," 1,939,170.00 "
1018,Cus1207,Gloves,South,6/30/2024,12,25,300," 4,649,120.00 "
1019,Cus1033,Shoes,East,7/31/2024,5,15,75," 2,436,355.00 "
1020,Cus1188,Hat,West,8/31/2024,7,50,350," 1,504,380.00 "
1001,Cus1314,Shirt,North,1/31/2023,5,20,100," 1,939,080.00 "
1002,Cus1440,Shoes,South,2/28/2023,10,50,500," 4,648,820.00 "
1003,Cus1239,Hat,East,3/31/2023,7,15,105," 2,436,280.00 "
1004,Cus1353,Socks,West,4/30/2023,3,5,15," 1,504,030.00 "
1005,Cus1291,Jacket,North,5/31/2023,2,60,120," 1,938,980.00 "
1006,Cus1096,Gloves,South,6/30/2023,8,25,200," 4,648,320.00 "
1007,Cus1291,Shirt,East,7/31/2023,12,40,480," 2,436,175.00 "
1008,Cus1347,Shoes,West,8/31/2023,4,15,60," 1,504,015.00 "
1009,Cus1047,Hat,North,9/30/2023,7,10,70," 1,938,860.00 "
1010,Cus1173,Socks,South,10/31/2023,9,30,270," 4,648,120.00 "
1011,Cus1042,Jacket,East,11/30/2023,6,35,210," 2,435,695.00 "
1012,Cus1106,Gloves,West,12/31/2023,5,20,100," 1,503,955.00 "
1013,Cus1313,Shirt,North,1/31/2024,8,50,400," 1,938,790.00 "
1014,Cus1241,Shoes,South,2/29/2024,10,60,600," 4,647,850.00 "
1015,Cus1044,Hat,East,3/31/2024,11,10,110," 2,435,485.00 "
1016,Cus1404,Socks,West,4/30/2024,4,20,80," 1,503,855.00 "
1017,Cus1379,Jacket,North,5/31/2024,3,30,90," 1,938,390.00 "
1018,Cus1344,Gloves,South,6/30/2024,12,25,300," 4,647,250.00 "
1019,Cus1320,Shoes,East,7/31/2024,5,15,75," 2,435,375.00 "
1020,Cus1119,Hat,West,8/31/2024,7,50,350," 1,503,775.00 "
1001,Cus1180,Shirt,North,1/31/2023,5,20,100," 1,938,300.00 "
1002,Cus1103,Shoes,South,2/28/2023,10,50,500," 4,646,950.00 "
1003,Cus1162,Hat,East,3/31/2023,7,15,105," 2,435,300.00 "
1004,Cus1489,Socks,West,4/30/2023,3,5,15," 1,503,425.00 "
1005,Cus1141,Jacket,North,5/31/2023,2,60,120," 1,938,200.00 "
1006,Cus1374,Gloves,South,6/30/2023,8,25,200," 4,646,450.00 "
1007,Cus1006,Shirt,East,7/31/2023,12,40,480," 2,435,195.00 "
1008,Cus1204,Shoes,West,8/31/2023,4,15,60," 1,503,410.00 "
1009,Cus1183,Hat,North,9/30/2023,7,10,70," 1,938,080.00 "
1010,Cus1041,Socks,South,10/31/2023,9,30,270," 4,646,250.00 "
1011,Cus1489,Jacket,East,11/30/2023,6,35,210," 2,434,715.00 "
1012,Cus1328,Gloves,West,12/31/2023,5,20,100," 1,503,350.00 "
1013,Cus1500,Shirt,North,1/31/2024,8,50,400," 1,938,010.00 "
1014,Cus1285,Shoes,South,2/29/2024,10,60,600," 4,645,980.00 "
1015,Cus1154,Hat,East,3/31/2024,11,10,110," 2,434,505.00 "
1016,Cus1298,Socks,West,4/30/2024,4,20,80," 1,503,250.00 "
1017,Cus1418,Jacket,North,5/31/2024,3,30,90," 1,937,610.00 "
1018,Cus1109,Gloves,South,6/30/2024,12,25,300," 4,645,380.00 "
1019,Cus1333,Shoes,East,7/31/2024,5,15,75," 2,434,395.00 "
1020,Cus1126,Hat,West,8/31/2024,7,50,350," 1,503,170.00 "
1001,Cus1135,Shirt,North,1/31/2023,5,20,100," 1,937,520.00 "
1002,Cus1179,Shoes,South,2/28/2023,10,50,500," 4,645,080.00 "
1003,Cus1235,Hat,East,3/31/2023,7,15,105," 2,434,320.00 "
1004,Cus1255,Socks,West,4/30/2023,3,5,15," 1,502,820.00 "
1005,Cus1442,Jacket,North,5/31/2023,2,60,120," 1,937,420.00 "
1006,Cus1293,Gloves,South,6/30/2023,8,25,200," 4,644,580.00 "
1007,Cus1161,Shirt,East,7/31/2023,12,40,480," 2,434,215.00 "
1008,Cus1173,Shoes,West,8/31/2023,4,15,60," 1,502,805.00 "
1009,Cus1170,Hat,North,9/30/2023,7,10,70," 1,937,300.00 "
1010,Cus1403,Socks,South,10/31/2023,9,30,270," 4,644,380.00 "
1011,Cus1452,Jacket,East,11/30/2023,6,35,210," 2,433,735.00 "
1012,Cus1159,Gloves,West,12/31/2023,5,20,100," 1,502,745.00 "
1013,Cus1483,Shirt,North,1/31/2024,8,50,400," 1,937,230.00 "
1014,Cus1146,Shoes,South,2/29/2024,10,60,600," 4,644,110.00 "
1015,Cus1024,Hat,East,3/31/2024,11,10,110," 2,433,525.00 "
1016,Cus1325,Socks,West,4/30/2024,4,20,80," 1,502,645.00 "
1017,Cus1426,Jacket,North,5/31/2024,3,30,90," 1,936,830.00 "
1018,Cus1230,Gloves,South,6/30/2024,12,25,300," 4,643,510.00 "
1019,Cus1249,Shoes,East,7/31/2024,5,15,75," 2,433,415.00 "
1020,Cus1120,Hat,West,8/31/2024,7,50,350," 1,502,565.00 "
1001,Cus1180,Shirt,North,1/31/2023,5,20,100," 1,936,740.00 "
1002,Cus1174,Shoes,South,2/28/2023,10,50,500," 4,643,210.00 "
1003,Cus1069,Hat,East,3/31/2023,7,15,105," 2,433,340.00 "
1004,Cus1113,Socks,West,4/30/2023,3,5,15," 1,502,215.00 "
1005,Cus1091,Jacket,North,5/31/2023,2,60,120," 1,936,640.00 "
1006,Cus1362,Gloves,South,6/30/2023,8,25,200," 4,642,710.00 "
1007,Cus1436,Shirt,East,7/31/2023,12,40,480," 2,433,235.00 "
1008,Cus1226,Shoes,West,8/31/2023,4,15,60," 1,502,200.00 "
1009,Cus1361,Hat,North,9/30/2023,7,10,70," 1,936,520.00 "
1010,Cus1487,Socks,South,10/31/2023,9,30,270," 4,642,510.00 "
